Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,,,,,,
166732733367182_1826606077379831,https://www.facebook.com/UFHSCL/posts/1826606077379831,"Tell us how the library can support your use of technology!

What kind of smartphone or tablet are you using? What apps and web-based resources are you using? How can your library support your use of technology? The Health Science Center Libraries would like to know how you, our Health Science Center patrons, use technology in your daily work and study. Please participate in our brief survey on this topic:

https://ufl.qualtrics.com/jfe/form/SV_38EE27gGwXwfKId 

This is an annual survey; you may have taken it before – if so, please take it again.  The information obtained will help the HSC Libraries improve our services in this ever-changing arena. The survey is anonymous, voluntary, and will take 5-10 minutes to complete",Photo,,,11/8/2017 5:05, ,125,125,0,234,234,0,4,3,4,0,0,164,80,0,0,3,0,0,0,0,0,0,0,0,0,0,,2,,,2,,2,1,1,,2,1,1,,,,,,,
166732733367182_1819939248046514,https://www.facebook.com/UFHSCL/posts/1819939248046514,"Get to know the 3 types of HIV treatment (as illustrated by Kelena Klippel): ART, PrEP, and PEP!  Antiretroviral therapy is a combination of drugs that keeps HIV+ people healthy, PrEP helps prevent people at risk of infection from getting HIV, and PEP can help keep someone recently exposed to HIV from getting infected.  Learn more here: https://aidsinfo.nih.gov/understanding-hiv-aids/fact-sheets/21/51/hiv-treatment--the-basics. #HIVAwareUF",Photo,,,11/7/2017 8:43, ,65,65,0,114,114,0,6,6,8,0,0,111,64,0,0,6,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,6,,,2,6,,,,,,,,
166732733367182_1819984164708689,https://www.facebook.com/UFHSCL/posts/1819984164708689,"In her comic, “Through Massaman’s Eyes”, Kelena Klippel demonstrates the importance of self-care and community after being diagnosed with HIV.  Check out her full HIV/AIDS Graphic Novel Contest entry here: https://goo.gl/fXWXpP.  #HIVAwareUF",Photo,,,11/6/2017 5:10, ,5631,634,4957,7021,1096,5925,209,164,208,0,0,378,170,155,90,15,0,0,0,0,0,0,0,0,0,0,8,65,,8,70,,36,84,65,,42,94,72,,,,,,,
166732733367182_1739417212765385,https://www.facebook.com/UFHSCL/posts/1739417212765385,A library is the perfect place to spend a Friday night…if you’re a bookworm! #FriYAY!,Photo,,,11/3/2017 16:01, ,244,244,0,367,367,0,5,2,3,1,1,168,87,0,0,3,0,0,0,0,0,0,0,0,0,0,,3,,,3,,2,,,,3,,,,1,,,1,,
166732733367182_1819937174713388,https://www.facebook.com/UFHSCL/posts/1819937174713388,"Keep yourself and your partners safe and healthy – know your HIV status!  There are lots of places you can get confidential testing: GatorWell Health Promotion Services, UF Student Health Care Center, UF HealthStreet, and more!  Check out HIV.gov’s testing locator for more: https://locator.hiv.gov/. #HIVAwareUF",Link,,,11/3/2017 9:30, ,235,235,0,341,341,0,4,1,2,1,1,137,76,0,0,4,0,0,0,0,0,0,0,0,0,0,,3,,,3,,1,,,,2,,,,1,,,1,,
166732733367182_1819936114713494,https://www.facebook.com/UFHSCL/posts/1819936114713494,"Over the next few weeks we’ll be introducing our HIV/AIDS Graphic Novel Contest finalists and their exciting and creative entries, so be on the lookout!  If you want to get a head start you can check out all of the entries on our HIV/AIDS Library Guide here: http://guides.uflib.ufl.edu/graphic-novel-contest/finalists. #HIVAwareUF",Photo,,,11/2/2017 6:38, ,4880,1491,3471,6904,2517,4387,133,96,117,1,1,435,161,261,100,18,0,0,0,0,0,0,0,0,0,0,5,51,,5,56,,25,53,22,,28,64,25,,1,,,1,,
166732733367182_1819934964713609,https://www.facebook.com/UFHSCL/posts/1819934964713609,"In preparation for World AIDS Day on December 1st, and as a culmination of our HIV/AIDS Graphic Novel Contest, the HSC Library will be sharing information, resources, and artwork related to HIV/AIDS throughout the month of November.  The artwork will includes panels and pages from entries from all of our contest entrants, including our winner: Lisa Klug, for her entry, “My Journey with AIDS”.  Congratulations Lisa, and a big thank you to everyone who participated, including our guest judges from the Sequential Artists Workshop!
Speaking of SAW, if you’re interested in viewing the amazing artwork of our finalists in person, come visit SAW’s exhibition space during the Artwalk Gainesville on December 1st, from 7-10pm.  We’ll be serving refreshments &amp; displaying enlarged prints of our Graphic Novel Contest finalists.  Celebrate World AIDS Day by viewing and hearing the stories of local artists impacted by HIV.  Help create an #HIVAwareUF!",Photo,,,11/1/2017 15:00, ,3450,542,2971,4534,881,3653,110,70,96,1,1,303,132,163,76,9,0,0,0,0,0,0,0,0,0,0,6,52,5,6,53,5,39,39,,,52,44,,,1,,,1,,
166732733367182_1739416529432120,https://www.facebook.com/UFHSCL/posts/1739416529432120,"Take a break from the library and take a walk on the wild side through Bartram-Carr Wood! 

The trailhead is located right behind the Harrell Medical Education Building.  Although the walk is short, it’s a refreshing breath of fresh air!

#FriYAY! #OptOutside",Photo,,,10/27/2017 9:01, ,411,411,0,639,639,0,9,3,4,1,1,163,78,0,0,6,0,0,0,0,0,0,0,0,0,0,,6,,,6,,3,,,,4,,,,1,,,1,,
166732733367182_1813127608727678,https://www.facebook.com/UFHSCL/posts/1813127608727678,"Just a reminder:

Dr. Guy Hasegawa, author of &quot;Mending Broken Soldiers: The Union and Confederate Programs to Supply Artificial Limbs&quot;, will be speaking TODAY in the Communicore Building, Room C1-3, from 12-1pm on the use of artificial limbs during the Civil War, as part of our series of Civil War exhibits and speakers.  

This event is free and open to the public, and light refreshments will be served.",Photo,,,10/26/2017 7:50, ,263,263,0,419,419,0,10,6,9,1,1,125,69,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,,1,4,,5,1,,,8,1,,,1,,,1,,
166732733367182_1745751855465254,https://www.facebook.com/UFHSCL/posts/1745751855465254,"How can we help patients with limited health literacy? 

Recognize the signs.  Know sources for easy to read, multi-language, or graphic health information.  Employ strategies such as Teach Back or Plain Language to activate patient engagement.  

Ask your Health Science Center Librarian for tips and tools!",Photo,,,10/25/2017 9:50, ,176,176,0,287,287,0,6,4,4,0,0,134,70,0,0,4,0,0,0,0,0,0,0,0,0,0,,3,,,3,,2,2,,,2,2,,,,,,,,
166732733367182_1809726839067755,https://www.facebook.com/UFHSCL/posts/1809726839067755,Now it's easier to contact UF Health Science Center Libraries.,Link,,,10/23/2017 18:14, ,271,271,0,435,435,0,0,0,0,0,0,137,67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1787023624671410,https://www.facebook.com/UFHSCL/posts/1787023624671410,Today is National Mammography Day!  Check out these Breast Cancer Screening Guidelines from the  CDC: https://www.cdc.gov/cancer/breast/pdf/BreastCancerScreeningGuidelines.pdf.,Photo,,,10/23/2017 6:43, ,667,667,0,1163,1163,0,4,3,3,0,0,208,99,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,3,,,,3,,,,,,,,
166732733367182_1739415926098847,https://www.facebook.com/UFHSCL/posts/1739415926098847,"Did you know the library teaches standalone workshops on citation managers, including EndNote, RefWorks, and Mendeley?
Phred knows. 
Phred goes. 
Be a Phred. 
#PhrenologyPhred",Photo,,,10/20/2017 6:00, ,639,639,0,1100,1100,0,12,7,7,1,1,212,105,0,0,6,0,0,0,0,0,0,0,0,0,0,1,9,,1,10,,6,1,,,6,1,,,1,,,1,,
166732733367182_1745751222131984,https://www.facebook.com/UFHSCL/posts/1745751222131984,"What are the costs of limited health literacy? 

Patients with limited health literacy use less preventive medicine but more emergency services. They have increased hospital admissions and longer stays. They have decreased health status and poor health outcomes.  All in all, patients with limited health literacy cost the healthcare system over $200 billion a year-that’s enough to provide healthcare to over 47 million uninsured Americans.",Photo,,,10/18/2017 6:49, ,239,239,0,408,408,0,6,4,5,1,1,162,76,0,0,5,0,0,0,0,0,0,0,0,0,0,,2,,,2,,3,1,,,4,1,,,1,,,1,,
166732733367182_1798595900180849,https://www.facebook.com/UFHSCL/posts/1798595900180849,"Don't worry, we have plenty more plans for puppers later this semester!  In the meantime, enjoy these mementos of Beau &amp; Mac's visit!",Photo,,,10/14/2017 9:50, ,76,76,0,131,131,0,8,2,20,1,1,98,51,0,0,6,0,0,0,0,0,0,0,0,0,0,,6,,,8,,2,1,,,19,1,,,1,,,1,,
166732733367182_1795268957180210,https://www.facebook.com/UFHSCL/posts/1795268957180210,"On October 18th, 19th, and 20th, you'll need a Gator 1 Card or Santa Fe College ID to enter all George A. Smathers Libraries, including the UF Health Science Center Libraries. 

Remember to bring your ID with you, so you can enjoy our library's space next week!",Photo,,,10/11/2017 15:29, ,109,56,0,170,86,0,11,10,10,1,1,81,47,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,,1,1,,7,3,,,7,3,,,1,,,1,,
166732733367182_1795264310514008,https://www.facebook.com/UFHSCL/posts/1795264310514008,"Check out the highlights from Beau and Mac's visit to the library today, and remember, they'll be returning for more love and affection this Friday from 1-3pm!",Photo,,,10/11/2017 15:23, ,55,49,0,101,78,0,11,4,11,1,1,81,43,0,0,8,0,0,0,0,0,0,0,0,0,0,,7,,,8,,2,3,,,8,3,,,1,,,1,,
166732733367182_1794840070556432,https://www.facebook.com/UFHSCL/posts/1794840070556432,"From mid-October to mid-December, the Health Science Center Library will be hosting a variety of exhibits and programming on the theme of Civil War medicine. For more details, check out our Library Guide: http://guides.uflib.ufl.edu/civilwarexhibits 

All of these exhibits and events are free and open to the public, and light refreshments will be provided – please join us!",Photo,,,10/11/2017 14:21, ,300,110,0,466,166,0,18,11,15,1,1,106,62,0,0,7,0,0,0,0,0,0,0,0,0,0,4,9,1,4,9,1,7,5,,,10,5,,,1,,,1,,
166732733367182_1745750738798699,https://www.facebook.com/UFHSCL/posts/1745750738798699,"Would you recognize the signs of limited health literacy in your patient? Though health literacy often correlates to education level, socioeconomic status and insurance status, and racial/ethnic disparities, you can’t tell by looking.",Link,,,10/11/2017 9:48, ,310,296,0,466,439,0,5,2,3,1,1,97,58,0,0,2,0,0,0,0,0,0,0,0,0,0,,3,,,3,,1,,1,,2,,1,,1,,,1,,
166732733367182_1794833017223804,https://www.facebook.com/UFHSCL/posts/1794833017223804,"If you need some canine affection to get you through the week, stop by and say hi!",Photo,,,10/11/2017 7:02, ,46,41,0,78,72,0,7,3,3,1,1,64,36,0,0,6,0,0,0,0,0,0,0,0,0,0,,4,,,6,,3,,,,3,,,,1,,,1,,
166732733367182_1793868040653635,https://www.facebook.com/UFHSCL/posts/1793868040653635,"Take some time to calm your mind!

The HSC Library will be hosting a meditation session every Wednesday from 12:15 until 12:45 in HSCL C3-72, starting Wednesday October 11th. All are welcome to attend. Optional instruction on meditation techniques will be offered from 12-12:15 on the 2nd and 4th Wednesday of the month.",Photo,,,10/10/2017 10:32, ,65,53,0,105,82,0,6,6,6,0,0,55,35,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,,1,2,,3,3,,,3,3,,,,,,,,
166732733367182_1793709357336170,https://www.facebook.com/UFHSCL/posts/1793709357336170,"Did you know? Breast cancer can occur in men. Over 2,000 men are diagnosed each year. Find out more: http://1.usa.gov/1pMJvou. #BreastCancerAwarenessMonth",,,,10/10/2017 7:49, ,157,151,0,235,230,0,3,1,4,1,1,48,33,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,,,2,,1,,1,,2,,2,,1,,,1,,
166732733367182_1787021541338285,https://www.facebook.com/UFHSCL/posts/1787021541338285,October is Breast Cancer Awareness Month - check out these little-known facts about breast cancer.,Photo,,,10/6/2017 14:41, ,261,261,0,390,390,0,1,1,2,0,0,106,56,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,1,,,1,1,,,,,,,,
166732733367182_1739414669432306,https://www.facebook.com/UFHSCL/posts/1739414669432306,"Let’s go Gators! 

Remember, the library is closed on Homecoming so we can spend our #FriYAY! celebrating!",Photo,,,10/6/2017 9:59, ,305,227,0,475,340,0,12,7,7,1,1,112,61,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,,1,4,,5,2,,,5,2,,,1,,,1,,
166732733367182_1745750425465397,https://www.facebook.com/UFHSCL/posts/1745750425465397,"October is Health Literacy Month!  

Health literacy is the degree to which individuals have the capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions. (Healthy People 2010: http://www.healthypeople.gov/2010/)",Photo,,,10/4/2017 12:47, ,194,187,0,299,283,0,5,2,2,0,0,126,68,0,0,1,0,0,0,0,0,0,0,0,0,0,,3,,,3,,1,1,,,1,1,,,,,,,,
166732733367182_1739422649431508,https://www.facebook.com/UFHSCL/posts/1739422649431508,"Doodle dee do! Take a break and color one of our coloring sheets, located below the stairs on the first floor of the library.
#WellnessWednesday",Photo,,,10/4/2017 6:09, ,187,183,0,278,272,0,7,5,7,0,0,131,70,0,0,4,0,0,0,0,0,0,0,0,0,0,,3,,,4,,1,4,,,1,6,,,,,,,,
166732733367182_1785752558131850,https://www.facebook.com/UFHSCL/posts/1785752558131850,Check out how George A. Smathers Libraries is working to preserve Bob Campbell's work as a wildlife photographer through our archives and digital collections.,SharedVideo,,,10/3/2017 10:18, ,56,54,0,90,86,0,2,0,0,0,0,85,52,0,0,1,0,0,0,0,17,21,0,0,0,36265,,2,,,2,,,,,,,,,,,,,,,
166732733367182_1739413339432439,https://www.facebook.com/UFHSCL/posts/1739413339432439,"Phred’s ready for Game Day! Let’s Go Gators!
(Now if only he can get out of the library before it closes…) #PhrenologyPhred #FriYAY",Photo,,,9/29/2017 12:57, ,95,83,0,151,132,0,5,3,3,0,0,78,47,0,0,3,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,3,,,,3,,,,,,,,
166732733367182_1780409878666118,https://www.facebook.com/UFHSCL/posts/1780409878666118,"The HSC Library will be closing at *5pm* on Friday, September 29th.  #GoGators #BeatVandy",Photo,,,9/28/2017 13:34, ,63,54,0,98,85,0,5,2,2,0,0,73,47,0,0,3,0,0,0,0,0,0,0,0,0,0,,3,,,3,,,2,,,,2,,,,,,,,
166732733367182_1739422132764893,https://www.facebook.com/UFHSCL/posts/1739422132764893,"Phrenology Phred takes a break to rest his mind with some illustrated meditations. Our new wellness collection is located below the stairs on the first floor!
#WellnessWednesday #PhrenologyPhred",Photo,,,9/27/2017 8:08, ,70,48,0,112,75,0,5,3,6,0,0,61,40,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,,1,4,,1,2,,,1,5,,,,,,,,
166732733367182_1739407699433003,https://www.facebook.com/UFHSCL/posts/1739407699433003,Florida Voter registration information:  http://www.nonprofitvote.org/states/florida/,Photo,,,9/26/2017 6:55, ,48,48,0,77,77,0,1,0,0,0,0,67,39,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,
166732733367182_1739400379433735,https://www.facebook.com/UFHSCL/posts/1739400379433735,"Have you packed your digital disaster supply kit?  It's important to be able to access the information you need in an emergency, whether you're a first responder or simply trying to connect with separated family members.  

But don't worry, the Disaster Information Management Research Center has put together a list of mobile apps that can help in a disaster scenario: https://sis.nlm.nih.gov/dimrc/disasterapps.html.",Link,,,9/25/2017 6:46, ,72,65,0,100,91,0,2,1,1,0,0,61,42,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,1,,,,1,,,,,,,
166732733367182_1739404716099968,https://www.facebook.com/UFHSCL/posts/1739404716099968,"Today is Falls Prevention Awareness Day, and the National Council on Aging has created many educational resources on how to prevent falls, including videos like this one: https://vimeo.com/148517287.  More resources are available at their National Falls Prevention Resource Center https://www.ncoa.org/center-for-healthy-aging/falls-resource-center/.",Link,,,9/22/2017 9:51, ,23,22,0,31,30,0,1,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,
166732733367182_1739421589431614,https://www.facebook.com/UFHSCL/posts/1739421589431614,"Don’t be a zombie! Take a nap in the nap pods, located on the second floor of the HSCL.
#WellnessWednesday  https://www.giantmicrobes.com/us/products/zombievirus.html",Photo,,,9/20/2017 9:08, ,128,109,0,162,135,0,9,6,7,0,0,44,33,0,0,5,0,0,0,0,0,0,0,0,0,0,,4,,,4,,1,5,,,2,5,,,,,,,,
166732733367182_1739404366100003,https://www.facebook.com/UFHSCL/posts/1739404366100003,"Arrr! Today be #talklikeapirateday! Weigh anchor and set sail for the HSCL to catch up on your studies, or spruce up yer landlubbin lingo with these piratey phrases: http://www.pirateglossary.com/phrases/",Photo,,,9/19/2017 6:03, ,155,39,0,268,61,0,6,3,3,0,0,57,37,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,,2,5,,,3,,,,3,,,,,,,,
166732733367182_1739403256100114,https://www.facebook.com/UFHSCL/posts/1739403256100114,"Today is National HIV/AIDS and Aging Awareness Day, led by The AIDS Institute.  HIV infection is not just a risk for young people: To learn more about how HIV/AIDS effects those over the age of 50, check out this video that we made in collaboration with UF Health Shands Arts in Medicine and the Center for Arts in Medicine.  #NHAAA https://www.youtube.com/watch?v=ouCIzBpGe14",Link,,,9/18/2017 6:49, ,129,31,0,201,44,0,5,2,2,1,1,42,31,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,,1,4,,2,,,,2,,,,,1,,,1,
166732733367182_1766261183414321,https://www.facebook.com/UFHSCL/posts/1766261183414321,"Date:  Tuesday, September 19th, 2017
Time:  Drop by between 8:30 – 9:50 AM 
Location:  C2-41A (2nd floor of the HSC Library)
Questions?  Contact Joe Wu, HSC librarian (zhuoxi.wu@ufl.edu; (352)273-8443) 

September 18th – 22nd marks the 8th annual Postdoc Appreciation Week.  The UF Health Science Center Library is proud to host a meet and greet for health science center postdocs.  Come unwind, eat breakfast, get caffeinated, celebrate your achievements, connect with other postdocs, and learn about Health Science Center Library resources and services before you embark on your research adventures for the day!",Photo,,,9/15/2017 10:43, ,118,41,0,196,61,0,10,7,7,1,1,64,41,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4,,1,5,,5,2,,,5,2,,,1,,,1,,
166732733367182_1739401779433595,https://www.facebook.com/UFHSCL/posts/1739401779433595,"National Online Learning Day showcases how students of all ages are thriving with the ability to learn online—anywhere, anytime. It seeks to cultivate awareness of, and support for, this ever-growing community of learners and to celebrate the future of online education—wherever technology and our imaginations take us!",Photo,,,9/15/2017 6:48, ,25,25,0,34,34,0,0,0,0,0,0,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1765204676853305,https://www.facebook.com/UFHSCL/posts/1765204676853305,"Beau the therapy dog is coming to visit the HSC Library!

Beau is a Goldendoodle who loves interacting with people and he will be visiting us on the 1st floor of the HSC Library on October 11 and 13, from 1-3pm!

Follow him at on Facebook (Beau the Therapy Dog) and Instagram (https://www.instagram.com/beau_the_doodle/).  

He is registered with The Alliance of Therapy Dogs #42254.",Photo,,,9/14/2017 12:45, ,247,64,0,398,92,0,36,20,26,0,0,97,64,0,0,9,0,0,0,0,0,0,0,0,0,0,1,25,3,1,27,3,13,7,,,16,10,,,,,,,,
166732733367182_1764105603629879,https://www.facebook.com/UFHSCL/posts/1764105603629879,HSC Library users!  Be aware that travel to north Gainesville may be impacted by bridge closures this afternoon:,Photo,,,9/13/2017 13:29, ,119,107,0,183,165,0,12,11,12,0,0,168,112,0,0,11,0,0,0,0,0,0,0,0,0,0,,1,,,1,,10,2,,,10,2,,,,,,,,
166732733367182_1739421179431655,https://www.facebook.com/UFHSCL/posts/1739421179431655,"Is your coursework too PUZZLING?! (Ha, we’re hilarious!)
Take a break and check out our puzzle under the stairs on the first floor of the Library. #WellnessWednesday",Photo,,,9/13/2017 9:07, ,194,38,0,338,57,0,9,7,8,0,0,60,37,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,,2,3,,4,3,,,4,4,,,,,,,,
166732733367182_1739398952767211,https://www.facebook.com/UFHSCL/posts/1739398952767211,"What's in your disaster supply kit?  It doesn't have to be just food, water, and first aid equipment.   Books, games, and hard candy are supplies that can help keep you and your family calm and entertained during an emergency.  Learn more about what you can include in your kit here: https://www.ready.gov/build-a-kit.  

What do you think librarians would include in their disaster supply kits?",Link,,,9/11/2017 6:44, ,68,68,0,95,95,0,0,0,0,0,0,86,64,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
166732733367182_1759252570781849,https://www.facebook.com/UFHSCL/posts/1759252570781849,"HURRICANE IRMA CLOSURE: The HSC Library will be closed Friday through *Tuesday*, along with the rest of campus. We are scheduled to reopen Wednesday, September 13th. Official updates at http://www.ufl.edu/alerts/hurricane-irma.html.",Link,,,9/9/2017 10:30, ,183,39,0,416,73,0,26,24,37,0,0,107,51,0,0,7,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,1,14,,15,,20,,17,,,,,,,
166732733367182_1739420912765015,https://www.facebook.com/UFHSCL/posts/1739420912765015,Visit the Wellness Calendar at http://gatorcare.org/wellness/calendar/ for a listing of wellness opportunities including free group fitness classes and monthly #WellnessWednesday presentations!,Photo,,,9/6/2017 6:07, ,457,451,0,671,663,0,4,2,2,0,0,98,66,0,0,3,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,1,1,,,1,1,,,,,,,
166732733367182_1739396686100771,https://www.facebook.com/UFHSCL/posts/1739396686100771,"Did you know that after a disaster, libraries often serve as safe refuges, providing information and resources to help their communities recover? 

 How can you help your community recover from a disaster?  One way is to get involved in your local Community Emergency Response Team (CERT).  

Learn more about the Alachua County CERT here: http://www.alachuacounty.us/Depts/EM/ServicesandPrograms/pages/cert.aspx",Link,,,9/4/2017 12:41, ,49,49,0,72,72,0,2,1,2,1,1,66,44,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,,,,2,,,,1,,,1,,
166732733367182_1749441351762971,https://www.facebook.com/UFHSCL/posts/1749441351762971,"Happy Labor Day Weekend!  Here are the special HSC Library Hours: 

Saturday, September 2nd 8am-5pm
Sunday, September 3rd          CLOSED
Monday, September 4th         8am-5pm

On Sunday, September 3rd, 24/7 access will also be closed.",Photo,,,9/1/2017 11:27, ,84,84,0,158,158,0,1,1,1,0,0,154,81,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,,,,1,,,,,,,,,
166732733367182_1739394592767647,https://www.facebook.com/UFHSCL/posts/1739394592767647,"September is National Preparedness Month, and Week One is the time to #MakeAPlan!  Ready yourself for possible #Rainesville hurricanes by creating a plan that meets your specific health needs.  Not sure where to begin?  Check out Ready.gov for tips! https://www.ready.gov/make-a-plan",Photo,,,9/1/2017 6:38, ,114,109,0,216,208,0,1,0,0,0,0,202,104,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,,,
