Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback by Type - hide_clicks,,,,
166732733367182_2003275769712860,https://www.facebook.com/UFHSCL/posts/2003275769712860,"Happy #ManateeAppreciationDay! Library staff member Bob shows his appreciation by printing this manatee skull using the HSC Library's 3D printers. Check out our other 3D printed models at the Information Desk, or submit a request of your own here: https://3dprint.uflib.ufl.edu/!",Photo,,,3/28/2018 5:30, ,352,352,0,551,551,0,43,26,38,1,1,168,110,0,0,15,0,0,0,0,0,0,0,0,0,0,4,25,2,5,26,2,11,16,,14,24,,1,1,,,,
166732733367182_1954633717910399,https://www.facebook.com/UFHSCL/posts/1954633717910399,"50 Million people have epilepsy world wide.

It is estimated that 1 in 100 people have epilepsy, and in 50% of cases the cause is unknown. Purple Day is an international grassroots effort dedicated to increasing awareness about epilepsy worldwide. On March 26th annually, people in countries around the world are invited to wear purple and host events in support of epilepsy awareness.

http://www.purpleday.org/
#purpleday2018 #purpleday #epilepsyawareness",Photo,,,3/26/2018 5:22, ,60,60,0,77,77,0,5,3,4,0,0,64,51,0,0,4,0,0,0,0,0,0,0,0,0,0,,2,,,2,,1,2,,1,3,,,,,,,
166732733367182_2007140579326379,https://www.facebook.com/UFHSCL/posts/2007140579326379,Up and Running with Augmented Reality in Unity,Link,,,3/23/2018 8:48, ,59,59,0,77,77,0,1,0,0,0,0,65,51,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,
166732733367182_1954629844577453,https://www.facebook.com/UFHSCL/posts/1954629844577453,"It's officially the 1st day of Spring! Try a little mental spring cleaning by letting us help plan your assignments, using our handy Assignment Calculator at http://wap.uflib.ufl.edu/assigncalc/. Just enter when you want to start the assignment, and when it's due, and it will give you dates, steps and links for information related to planning, researching, and writing your assignment.

http://wap.uflib.ufl.edu/assigncalc/",Photo,,,3/20/2018 5:19, ,361,361,0,507,507,0,25,17,25,1,1,112,58,0,0,7,0,0,0,0,0,0,0,0,0,0,2,7,,2,8,,12,3,4,14,7,4,1,1,,,,
166732733367182_1997636006943503,https://www.facebook.com/UFHSCL/posts/1997636006943503,"In honor of National Poison Prevention Week, we're sharing this reminder that harmful substances don't always look like you think they would.  If you suspect that you or a loved one has ingested poison, call the National Poison Control hotline immediately: 1-800-222-1222.  If the person person collapses, has a seizure, has trouble breathing, or can't be awakened you should call 911.",Photo,,,3/19/2018 5:38, ,90,90,0,127,127,0,7,3,3,0,0,61,40,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4,,1,4,,1,2,,1,2,,,,,,,
166732733367182_1997271356979968,https://www.facebook.com/UFHSCL/posts/1997271356979968,"Upcoming event notice:  April 2 is World Autism Awareness Day.  On April 2nd, there will be a screening of the film &quot;Deej&quot;- a documentary about autism and inclusion.  The film will be screen at UF;s Reitz Union's Auditorium at 6PM- doors open at 5:15.

http://card.ufl.edu/2018/03/02/deej-movie-screening-and-discussion-4-2-18/",Link,,,3/16/2018 11:26, ,122,122,0,177,177,0,7,5,9,0,0,89,64,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,,2,3,,3,,2,7,,2,,,,,,
166732733367182_1996963603677410,https://www.facebook.com/UFHSCL/posts/1996963603677410,"World Sleep Day brings awareness to the importance of sleep as crucial to good health. Poor sleep is linked to both physical and mental disorders, such as obesity, diabetes and depression.  College students are especially vulnerable to stressors that may interfere with sleep.  

For your health, get some sleep! 

#WorldSleepDay #NeedANap #NationalSleepAwarenessWeek",Photo,,,3/16/2018 7:19, ,65,65,0,92,92,0,4,2,2,0,0,85,58,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,2,,,2,,,,,,,
166732733367182_1971851399521964,https://www.facebook.com/UFHSCL/posts/1971851399521964,"Happy 139th Birthday, Albert Einstein. Have some ?!",Photo,,,3/14/2018 5:13, ,84,84,0,111,111,0,8,3,4,0,0,61,46,0,0,5,0,0,0,0,0,0,0,0,0,0,1,5,,1,5,,,3,,,4,,,,,,,
166732733367182_1992500157457088,https://www.facebook.com/UFHSCL/posts/1992500157457088,"March 14 is National Write Down Your Story Day.  As the study of narrative in medicine shows, there is a value in telling one's story and increasingly more ways to narrate your own story and find those of others.  Check out Self Narrate in Gainesville- https://www.selfnarrate.com/ .  Or read oral histories from the Samuel Proctor Oral History Program- http://ufdc.ufl.edu/ohufhc and http://ufdc.ufl.edu/ohufcn",Link,,,3/13/2018 4:38, ,39,39,0,48,48,0,2,1,1,0,0,41,33,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,1,,,1,,,,,,,,
166732733367182_1991280967579007,https://www.facebook.com/UFHSCL/posts/1991280967579007,"Happy National Sleep Awareness Week!  As you recover from Daylight Savings, check out this eBook, &quot;The Science of Sleep&quot;, and learn more about the importance of good sleep hygiene.  http://uf.catalog.fcla.edu/permalink.jsp?20UFPDA002986972 #NeedANap",Photo,,,3/12/2018 8:01, ,54,54,0,68,68,0,1,0,0,0,0,62,49,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,
166732733367182_1987064168000687,https://www.facebook.com/UFHSCL/posts/1987064168000687,"If you'd like to Create in Place on this, the end of Spring Break, we've got art supplies here at the library for you to use!  Come join us and #ExpressYourself.  #CreateInPlace #352Creates",Link,,,3/9/2018 9:12, ,49,49,0,63,63,0,6,1,1,0,0,59,44,0,0,3,0,0,0,0,13,19,0,0,0,38803,,5,1,,6,1,1,,,1,,,,,,,,
166732733367182_1984470241593413,https://www.facebook.com/UFHSCL/posts/1984470241593413,"We're so excited to send our librarians to the Medical Library Association's conference in Atlanta this May, and we hope that we'll see some of our friends from the Alachua County Library District and Jacksonville Public Library at the &quot;Health Information for Public Librarians&quot; symposium, which is FREE to U.S.-based public librarians with an interest in health information!",Link,,,3/7/2018 13:04, ,56,56,0,82,82,0,6,1,2,0,0,70,49,0,0,3,0,0,0,0,0,0,0,0,0,0,,6,,,6,,1,,,2,,,,,,,,
166732733367182_1982789545094816,https://www.facebook.com/UFHSCL/posts/1982789545094816,"We're excited about the UF College of Dentistry's 4th Annual Super Sealant Saturday!  A chance for kids to get some free dental care, learn how to care for their teeth, and get a free toothbrush!",Link,,,3/6/2018 8:45, ,105,105,0,154,154,0,9,5,8,0,0,142,94,0,0,8,0,0,0,0,0,0,0,0,0,0,,6,,,6,,5,,,8,,,,,,,,
166732733367182_1981487018558402,https://www.facebook.com/UFHSCL/posts/1981487018558402,"Making dolls for children- join us on the first Saturday of every month!  Our next doll making session will be April 7, 10:00 AM- 2:00 PM in the Health Science Center Library, Room C2-41A!",Photo,,,3/5/2018 9:22, ,55,55,0,74,74,0,2,1,3,0,0,71,53,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,1,,2,1,,,,,,,
166732733367182_1981409151899522,https://www.facebook.com/UFHSCL/posts/1981409151899522,"What better way to celebrate your triumphant return from Spring Break than by learning the latest tech tools that the library has to offer when it comes to finding, organizing, and presenting information?  

Also, free snacks and giveaways - who can say no to that?",Link,,,3/5/2018 8:08, ,58,58,0,80,80,0,4,0,0,0,0,77,55,0,0,4,0,0,0,0,0,0,0,0,0,0,,4,,,5,,,,,,,,,,,,,
166732733367182_1977335342306903,https://www.facebook.com/UFHSCL/posts/1977335342306903,Our favorite therapy dog Beau is being nominated for a national award!  Support our playful pupper pal by voting for him on the website linked below.,Link,,,3/2/2018 9:42, ,73,73,0,95,95,0,5,1,1,0,0,91,70,0,0,5,0,0,0,0,0,0,0,0,0,0,,5,1,,5,1,1,,,1,,,,,,,,
166732733367182_1974414329265671,https://www.facebook.com/UFHSCL/posts/1974414329265671,"Here are the updated HSC Library hours for Spring Break:

Saturday, March 3rd - CLOSED
Sunday, March 4th - CLOSED
Monday, March 5th – Friday, March 9th - 7:30am-7pm
Saturday, March 10th - CLOSED
Sunday, March 11th - 1pm-11:30pm",Photo,,,2/28/2018 7:17, ,52,52,0,76,76,0,3,2,2,0,0,72,48,0,0,3,0,0,0,0,0,0,0,0,0,0,,1,,,1,,2,,,2,,,,,,,,
166732733367182_1968419826531788,https://www.facebook.com/UFHSCL/posts/1968419826531788,"Join us for the next Dollies without Borders doll making session on the Library second floor, room C2-41A, Saturday, March 3, 10am-2pm.  Help make dolls for children living in the developing world!",Photo,,,2/27/2018 5:10, ,61,61,0,90,90,0,6,2,3,0,0,84,55,0,0,6,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,1,1,1,,2,1,,,,,,,
166732733367182_1971932476180523,https://www.facebook.com/UFHSCL/posts/1971932476180523,"It's National Fairy Tale Day!  Take a break from studying and head to your local branch of the Alachua County Library District to find some books, or check out the fairy tales available online through George A. Smathers Libraries' Baldwin Library of Historical Children's Literature: http://ufdc.ufl.edu/UF00082991/00001/5.  #ReadAcrossAmerica",Photo,,,2/26/2018 8:19, ,82,82,0,112,112,0,9,3,9,0,0,62,40,0,0,2,0,0,0,0,0,0,0,0,0,0,1,5,,1,5,,,3,,,9,,,,,,,
166732733367182_1962878753752562,https://www.facebook.com/UFHSCL/posts/1962878753752562,"Student Government Elections are TODAY and TOMORROW, 2/20 &amp; 2/21.  The Health Science Center polling location is actually here at the HSC Library, in room C2-41C.  Voting is open from 8:30am-8:30pm both days.",Photo,,,2/20/2018 4:47, ,52,52,0,75,75,0,3,2,8,0,0,69,46,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,2,,,8,,,,,,,
166732733367182_1962866453753792,https://www.facebook.com/UFHSCL/posts/1962866453753792,"On Presidents' Day, we remember when the National Institutes of Health (NIH) were first founded, and the timeless words spoken by President Roosevelt at the dedication: &quot;Today the need for the conservation of health and physical fitness is greater than at any time in the nation’s history. In dedicating this Institute, I dedicate it to the underlying philosophy of public health, to the conservation of life, to the wise use of the vital resources of our nation. I voice for America, and for the stricken world, our hopes, our prayers, our faith, in the power of man’s humanity to man.”

Watch the full dedication here, through the National Library of Medicine (NLM)'s Digital Collections archive (full record available here: http://resource.nlm.nih.gov/101205101). #PresidentsDay",Link,,,2/19/2018 12:23, ,57,57,0,83,83,0,7,3,3,0,0,78,52,0,0,6,0,0,0,0,0,0,0,0,0,0,,5,,,5,,3,,,3,,,,,,,,
166732733367182_1953431721363932,https://www.facebook.com/UFHSCL/posts/1953431721363932,"On Abraham Lincoln's birthday, we at the HSC Library remember the efforts of those who were with President Lincoln in his final hours; in particular, Dr. Anderson Abbott, a prominent black physician who worked as a civilian surgeon in the Union army.  In recognition for his service, First Lady Mary Todd Lincoln gifted him with a shawl the President had worn at his first inauguration.  

Read some of Dr. Abbott's reflections on his involvement in such an historic event here: https://hdl.handle.net/2027/nyp.33433081752911?urlappend=%3Bseq=399.  #BlackHistoryMonth

Image Credit: Toronto Public Library",Photo,,,2/12/2018 10:38, ,53,53,0,76,76,0,4,3,8,0,0,65,47,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,3,,,8,,,,,,,
166732733367182_1944998152207289,https://www.facebook.com/UFHSCL/posts/1944998152207289,"Tomorrow is the beginning of the 5th annual I Love Local Food Week 2018, hosted by Working Food, a local non-profit organization that supports the North Central Florida food community!  They'll be hosting a variety of events throughout the week to educate and raise awareness about farms and food from our region.  

Here at the HSC library, we're particularly excited about their new book club, featuring the book &quot;Blood Sugar: Racial Pharmacology and Food Justice&quot;, which meets for the first time on Monday, February 12th, at 12pm.  

Learn more about the event and its sponsor here: https://workingfood.org/working-food-events/book-club-blood-sugar-racial-pharmacology-and-food-justice/. #FriYAY",Link,,,2/9/2018 5:22, ,39,39,0,58,58,0,1,0,0,0,0,51,34,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,
166732733367182_1946094922097612,https://www.facebook.com/UFHSCL/posts/1946094922097612,We're so excited to have Ariel Pomputius and Maggie Ansell represent the George A. Smathers Libraries at ALA Midwinter with their innovative Wellness Programming proposal!,Link,,,2/6/2018 13:32, ,41,41,0,58,58,0,5,0,0,0,0,52,36,0,0,4,0,0,0,0,0,0,0,0,0,0,,5,,,5,,,,,,,,,,,,,
166732733367182_1944900332217071,https://www.facebook.com/UFHSCL/posts/1944900332217071,"Tomorrow is National Black AIDS Day, and in observance of this day, the Office of Minority Health - U.S. Department of Health and Human Services Resource Center is hosting a webinar TODAY, at 12:30pm: Fact or Fiction: Debunking HIV Myths in the Black Community.  Register for the webinar here: https://register.gotowebinar.com/register/224892297143665153 

If you can't make it to the webinar, check out the HSC Library's video about HIV myths, made in partnership with the UF Center for Arts in Medicine.https://youtu.be/fHlTVBETcC4 #NBHAAD",Link,,,2/6/2018 5:14, ,46,46,0,69,69,0,1,0,0,0,0,61,39,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,,,1,,,,,,,,,,,,,
166732733367182_1944573982249706,https://www.facebook.com/UFHSCL/posts/1944573982249706,"The first week of February is African Heritage and Health Week!  To learn more about how African culinary traditions can improve heart health and more, check out these resources from Oldways, an organization that hosts classes on different culinary traditions: https://oldwayspt.org/programs/african-heritage-health/african-heritage-health-resources

There is also much we can learn about health from traditional African medicine.  One great source of information is AJTCAM: the African Journal of Traditional Complementary and Alternative Medicines.  Check out the latest issue here: http://journals.sfu.ca/africanem/index.php/ajtcam/index.  

#HeartMonth #BlackHistoryMonth",Link,,,2/5/2018 8:02, ,71,71,0,112,112,0,6,0,0,0,0,91,55,0,0,6,0,0,0,0,0,0,0,0,0,0,1,6,,2,7,,,,,,,,,,,,,
166732733367182_1938465782860526,https://www.facebook.com/UFHSCL/posts/1938465782860526,"Today we #WearRed in order to raise awareness of heart health for women, as part of the HSC Library's celebration of #HeartMonth.  Heart disease is the leading cause of death for women, but there are many ways to reduce your risk!  Check out these information resources on women's heart health:

Heart Health for Women (FDA): https://permanent.access.gpo.gov/gpo63354/UCM444196.pdf
 
Heart Disease in Women (NLM): https://medlineplus.gov/heartdiseaseinwomen.html 

Image Caption: Gator Marching Band members form a heart shape. (UF Digital Collections: UF00031569)",Photo,,,2/2/2018 7:45, ,44,44,0,59,59,0,2,1,2,0,0,53,39,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,1,,,2,,,,,,,
166732733367182_1937389802968124,https://www.facebook.com/UFHSCL/posts/1937389802968124,"Dr. Miriam Harris, author of Hidden Human Computers, will be visiting the George A. Smathers Libraries to present her work as part of the African American Studies Program’s Ronald Foreman Lecture Series. 

Thursday, February 8th
6pm
Smathers 100",Photo,,,2/1/2018 6:33, ,136,136,0,198,198,0,7,4,4,0,0,63,40,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,,1,3,,1,3,,1,3,,,,,,,
166732733367182_1835271253179980,https://www.facebook.com/UFHSCL/posts/1835271253179980,"January 28th is data privacy day.  In an era where maintaining health records electronically is becoming the norm and researchers are conducting more clinical studies, the ability to keep data private becomes critical.  At UF, ResearchVault (https://www.rc.ufl.edu/services/restricted-data/researchvault/)  is a great resource for data storage and it meets several criteria for data privacy including HIPAA for health data.  Also, check out the HIPAA Summit that is taking place from March 27th – 29th (https://hipaasummit.com/).",Photo,,,1/28/2018 7:05, ,46,46,0,71,71,0,3,1,2,0,0,68,42,0,0,2,0,0,0,0,0,0,0,0,0,0,,2,,,2,,,1,,,2,,,,,,,
166732733367182_1931741183532986,https://www.facebook.com/UFHSCL/posts/1931741183532986,"In light of this year's aggressive flu season, UF Health is temporarily changing policies related to visitation and infection control:",SharedVideo,,,1/26/2018 6:19, ,92,92,0,137,137,0,9,6,6,0,0,131,87,0,0,9,0,0,0,0,23,31,0,0,0,323312,,3,,,3,,6,,,6,,,,,,,,
166732733367182_1930800443627060,https://www.facebook.com/UFHSCL/posts/1930800443627060,Conversations with our patients about their health can be emotional and sometimes contentious.  Join us at Alachua County Library District to discuss how to have meaningful dialogue on difficult topics.,Link,,,1/25/2018 12:06, ,123,123,0,221,221,0,7,2,3,0,0,212,117,0,0,5,0,0,0,0,0,0,0,0,0,0,,6,,,6,,2,,,3,,,,,,,,
166732733367182_1910357172338054,https://www.facebook.com/UFHSCL/posts/1910357172338054,"In week 3 of our #MeetTheLibraryMonday posts, meet a familiar face to our night owl library patrons - Victoria!  

What's your favorite thing about the library?
My favorite resource is 3D printing since they are fun to do. 

What do you do when you're not working?
My hobbies: singing, reading, makeup, and gaming.

What are you currently reading?
“My First Five Husbands… and the Ones Who Got Away” by Rue McClanahan",Photo,,,1/22/2018 9:00, ,143,143,0,253,253,0,28,21,23,0,0,91,62,0,0,8,0,0,0,0,0,0,0,0,0,0,1,15,2,1,17,2,16,5,,,16,7,,,,,,
166732733367182_1926517797388658,https://www.facebook.com/UFHSCL/posts/1926517797388658,"Spend Summer B in Madagascar! This experiential course concentrates on biodiversity, conservation, sustainability, and culture, and how these factors interact in a developing country. Madagascar is a unique and amazing place, with incredible biodiversity and fascinating culture. Over 80% of the organisms living there are endemic, and this is the only place where you will see lemurs in the wild. Come to Madagascar and learn from local experts, experience the culture, and explore the natural world of the Eighth Continent.

For more information, contact Dr. Michele Tennant (tennantm@ufl.edu) or visit us at the Spring Study Abroad Fair, Wednesday, January 24, 10:00-3:00, north lawn of Reitz Union.",Photo,,,1/22/2018 6:37, ,142,142,0,287,287,0,22,16,27,0,0,118,60,0,0,8,0,0,0,0,0,0,0,0,0,0,2,15,,2,16,,11,10,,,13,14,,,,,,
166732733367182_1922674037773034,https://www.facebook.com/UFHSCL/posts/1922674037773034,"Did you know that the HSC Library offers free workshops on a variety of topics, including managing your citations with EndNote or Mendeley, searching for literature in PubMed, CINAHL, or Web of Science, and using bioinformatics tools like UGENE, EBI, or BLAST?  We have over 30 workshops scheduled this semester, all designed to help students, instructors, and researchers improve how they study, teach, and investigate.

Check out our schedule of workshops for the spring semester here: http://library.health.ufl.edu/2018/01/16/library-classes/.  

All workshops are free and open to the public.",Photo,,,1/19/2018 9:09, ,483,483,0,902,902,0,30,18,28,1,1,169,93,0,0,11,0,0,0,0,0,0,0,0,0,0,2,22,2,12,23,2,13,5,1,,18,9,1,,1,,,1
166732733367182_1920188188021619,https://www.facebook.com/UFHSCL/posts/1920188188021619,Study Abroad Fair,Link,,,1/17/2018 11:12, ,109,109,0,210,210,0,5,2,3,0,0,206,106,0,0,5,0,0,0,0,0,0,0,0,0,0,,4,,,4,,2,,,,3,,,,,,,
166732733367182_1900128143360957,https://www.facebook.com/UFHSCL/posts/1900128143360957,"Our next guest on #MeetTheLibraryMonday is familiar to most of our patrons: Bob!  Let's learn more about one of the HSC Library's friendliest faces:

What's your favorite thing about the library?
All the new WELLNESS activities!

What do you do when you're not working?
Read, hike &amp; bike the trails, go to the beaches (on both coasts!), play my bass guitar. 

What are you currently reading/watching?
Medicine and Compassion by C. Rinpoche, Gentlemen of the Road by Michael Chabon, Jamaica by Ian Fleming, and I only watch PBS.",Photo,,,1/15/2018 9:38, ,88,88,0,142,142,0,13,11,15,1,1,103,68,0,0,9,0,0,0,0,0,0,0,0,0,0,,4,,,4,,7,4,,,9,6,,,1,,,1
166732733367182_1835266949847077,https://www.facebook.com/UFHSCL/posts/1835266949847077,"January 12th is National Pharmacist day.  Take the time to appreciate your pharmacist for all that he or she does.  Pharmacists aren’t limited to working behind the counter and filling prescriptions.  When emergency occurs pharmacists can also respond and save lives.  For instance, the quick thinking and action of pharmacists Bhavini Patel and Ritesh Shah helped save lives.  Click on the links below to read the stories.
 
https://www.cbsnews.com/news/cvs-pharmacist-saves-man-having-food-allergy-epipen/ 
 
https://patch.com/new-jersey/middletown-nj/keansburg-pharmacist-saves-womans-life",Photo,,,1/12/2018 7:03, ,75,75,0,209,209,0,7,5,7,0,0,88,47,0,0,5,0,0,0,0,0,0,0,0,0,0,,2,,,2,,2,3,,,2,5,,,,,,
166732733367182_1912915262082245,https://www.facebook.com/UFHSCL/posts/1912915262082245,"In honor of Martin Luther King Jr. Weekend, the HSC Library will have modified hours this weekend: 

Saturday, 1/13: Open 8am - 5pm
Sunday, 1/14: CLOSED
Monday, 1/15: Open 8am - 5pm

Information about UF MLK celebration events is available here: https://multicultural.ufl.edu/programs/mlk/about-the-celebration/.",Photo,,,1/12/2018 3:20, ,49,49,0,84,84,0,2,1,2,0,0,68,42,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,,,1,,1,,1,,1,,1,,,,,
